DD-MM-YYYY,Danube,Budapest,France
1/1/2000,8790,2277,853.632
1/2/2000,9030,2055,758.374
1/3/2000,9100,1946,633.82
1/4/2000,6300,1918,563.229
1/5/2000,9570,1876,519.664
1/6/2000,9780,1882,448.635
1/7/2000,9820,1900,404.422
1/8/2000,9850,1983,352.662
1/9/2000,9850,1925,379.246
1/10/2000,9850,1826,439.48
1/11/2000,9710,1755,438.715
1/12/2000,9540,1735,379.058
1/13/2000,9370,1745,353.196
1/14/2000,9230,1760,337.205
1/15/2000,8970,1707,317.4
1/16/2000,8670,1620,272.587
1/17/2000,8380,1582,259.812
1/18/2000,8100,1609,268.557
1/19/2000,7770,1634,263.451
1/20/2000,7450,2048,255.324
1/21/2000,7190,2083,253.136
1/22/2000,6910,1927,231.12
1/23/2000,6670,1873,204.234
1/24/2000,6650,1834,177.432
1/25/2000,6410,1737,182.84
1/26/2000,6260,1543,212.64
1/27/2000,6080,1576,218.451
1/28/2000,5840,1593,186.319
1/29/2000,5840,1546,170.351
1/30/2000,6050,1552,162.784
1/31/2000,6150,1834,171.99
2/1/2000,6000,3282,176.586
2/2/2000,5790,4289,197.733
2/3/2000,5380,4428,240.548
2/4/2000,5180,4062,232.336
2/5/2000,5060,3654,201.912
2/6/2000,5140,3393,182.644
2/7/2000,5610,3250,162.713
2/8/2000,6150,3226,184.942
2/9/2000,6670,3229,294.545
2/10/2000,7190,3710,350.267
2/11/2000,7560,4288,340.509
2/12/2000,7960,4102,358.362
2/13/2000,8270,3776,298.058
2/14/2000,8610,3505,288.473
2/15/2000,8880,3365,354.341
2/16/2000,9200,3195,429.71
2/17/2000,9440,3107,420.714
2/18/2000,9710,3208,439.957
2/19/2000,9640,3172,570.805
2/20/2000,9680,2983,648.346
2/21/2000,9710,3103,533.869
2/22/2000,9780,3079,457.514
2/23/2000,9710,2864,404.335
2/24/2000,9710,2759,367
2/25/2000,9740,2673,350.875
2/26/2000,9710,2659,322.73
2/27/2000,9610,2876,283.41
2/28/2000,9470,3041,243.971
2/29/2000,9440,2926,256.436
3/1/2000,9400,2852,488.678
3/2/2000,9300,2813,845.471
3/3/2000,9170,2864,677.923
3/4/2000,9000,2903,544.097
3/5/2000,8790,2926,547.333
3/6/2000,8560,2993,460.931
3/7/2000,8380,2992,397.343
3/8/2000,8240,2860,372.118
3/9/2000,8150,2754,345.05
3/10/2000,8070,3053,307.09
3/11/2000,8020,4394,274.633
3/12/2000,8040,5175,256.233
3/13/2000,8040,5349,244.045
3/14/2000,8120,5206,246.622
3/15/2000,8300,4772,236.491
3/16/2000,8380,4598,232.458
3/17/2000,8440,4847,230.68
3/18/2000,8580,4696,212.399
3/19/2000,8700,5047,177.37
3/20/2000,8790,5108,154.267
3/21/2000,8850,4933,153.963
3/22/2000,8970,4681,170.237
3/23/2000,9100,4278,176.64
3/24/2000,9170,4004,182.226
3/25/2000,9230,3839,193.72
3/26/2000,9300,3829,197.098
3/27/2000,9470,3998,185.69
3/28/2000,9570,4105,218.443
3/29/2000,9640,4210,216.446
3/30/2000,9820,4441,209.066
3/31/2000,9990,4587,200.254
4/1/2000,10100,5041,207.682
4/2/2000,10200,5460,203.797
4/3/2000,10300,5455,183.318
4/4/2000,10400,5217,176.505
4/5/2000,10500,5049,271.374
4/6/2000,10700,4926,349.028
4/7/2000,10700,4919,301.182
4/8/2000,10700,4928,260.362
4/9/2000,10800,4756,202.583
4/10/2000,11000,4314,187.631
4/11/2000,11200,3976,212.319
4/12/2000,11400,3705,229.683
4/13/2000,11600,3527,301.328
4/14/2000,11800,3463,375.761
4/15/2000,12000,3488,458.989
4/16/2000,12200,3491,474.602
4/17/2000,12300,3489,389.617
4/18/2000,12300,3570,394.196
4/19/2000,12400,3549,378.809
4/20/2000,12500,3604,349.692
4/21/2000,12600,3668,311.204
4/22/2000,12600,3618,270.553
4/23/2000,12500,3744,502.148
4/24/2000,12500,3938,832.793
4/25/2000,12500,4152,611.174
4/26/2000,12400,4272,443.586
4/27/2000,12400,4111,397.849
4/28/2000,12300,3968,566.41
4/29/2000,12200,4101,858.024
4/30/2000,12100,4152,606.346
5/1/2000,12000,4120,424.556
5/2/2000,12000,4016,347.115
5/3/2000,11900,3876,353.781
5/4/2000,11800,3889,337.484
5/5/2000,11700,3907,320.722
5/6/2000,11600,3880,318.198
5/7/2000,11500,3882,313.413
5/8/2000,11400,3776,308.538
5/9/2000,11300,3707,329.436
5/10/2000,11200,3549,291.83
5/11/2000,11100,3488,402.264
5/12/2000,11000,3538,671.007
5/13/2000,11000,3598,538.574
5/14/2000,10900,3928,441.012
5/15/2000,10800,3911,337.76
5/16/2000,10700,3585,280.527
5/17/2000,10600,3326,258.887
5/18/2000,10500,3280,242.701
5/19/2000,10400,3301,261.175
5/20/2000,10300,3395,252.152
5/21/2000,10200,3518,223.213
5/22/2000,9880,3472,203.794
5/23/2000,9640,3218,209.181
5/24/2000,9300,3009,186.053
5/25/2000,8970,2798,172.445
5/26/2000,8790,2684,144.719
5/27/2000,8440,2656,146.371
5/28/2000,8210,2686,148.157
5/29/2000,7930,2674,135.205
5/30/2000,7690,2655,135.306
5/31/2000,7510,2685,147.439
6/1/2000,7400,2675,155.616
6/2/2000,7250,2728,151.909
6/3/2000,7040,2909,131.351
6/4/2000,6780,2821,122.371
6/5/2000,6520,2763,120.587
6/6/2000,6260,2785,171.518
6/7/2000,6150,2750,230.745
6/8/2000,6050,2887,206.306
6/9/2000,5890,3070,182.676
6/10/2000,5790,2901,160.434
6/11/2000,5740,2699,152.017
6/12/2000,5630,2579,149.06
6/13/2000,5560,2516,154.362
6/14/2000,5400,2382,150.852
6/15/2000,5380,2363,148.183
6/16/2000,5330,2391,119.837
6/17/2000,5260,2568,115.32
6/18/2000,5160,2685,93.86
6/19/2000,5060,2592,80.527
6/20/2000,5090,2308,80.176
6/21/2000,5090,2098,81.424
6/22/2000,4990,2108,78.962
6/23/2000,4860,2166,76.159
6/24/2000,4810,2115,69.592
6/25/2000,4760,2082,70.28
6/26/2000,4670,2283,68.951
6/27/2000,4600,2450,69.964
6/28/2000,4700,2377,61.911
6/29/2000,4670,2026,58.584
6/30/2000,4670,1927,58.652
7/1/2000,4560,1898,56.607
7/2/2000,4330,1796,55.963
7/3/2000,4200,1701,56.742
7/4/2000,4180,1622,68.204
7/5/2000,4290,1838,68.458
7/6/2000,4350,1989,71.9
